car_model,price,year_model,kms
Ford Fiesta 1.6 Titanium At 2017,$45.900.000,2017,74.000
Ford Fiesta 1.6 Hatchback Mecánica,$30.900.000,2013,90.400
Ford Fiesta 1.6 Hatchback Titanium,$37.900.000,2015,102.000
Ford Fiesta 1.6 Titanium Mt 2018,$51.900.000,2018,55.500
Ford Fiesta Se 2017,$44.800.000,2017,57.973
Ford Fiesta 1.6 Hatchback Titanium,$42.900.000,2017,73.500
Ford Fiesta 1.6 Titanium At,$37.900.000,2014,116.700
Ford Fiesta 1.6 Titanium At 2015,$38.900.000,2015,97.000
Ford Fiesta 1.6 Titanium At,$44.900.000,2015,63.000
Ford Fiesta 1.6 Titanium Mt,$47.450.000,2017,56.000
Ford Fiesta SPORTBACK TITANIUM MT 1.6,$45.000.000,2017,86.984
Ford Fiesta 1.6 Hatchback Se,$33.900.000,2014,126.700
Ford Fiesta 1.6 Titanium At,$43.000.000,2015,51.000
Ford Fiesta 1.6 Titanium At,$38.500.000,2015,78.900
Ford Fiesta Se  1600cc At Aa,$38.000.000,2016,34.818
Ford Fiesta 1.6 Titanium At,$47.000.000,2016,42.000
Ford Fiesta 1.6 Hatchback Mecánica,$31.900.000,2013,104.000
Ford Fiesta 1.6 Titanium,$51.900.000,2018,56.000
Ford Fiesta St M/t 2018,$64.800.000,2018,79.800
Ford Fiesta 1.6 Sportback Titanium,$45.900.000,2017,74.800
Ford Fiesta Se  1600cc At Aa,$36.000.000,2015,96.003
Ford Fiesta 1.6 Titanium At,$38.900.000,2015,91.900
Ford Fiesta 1.6 Titanium At,$43.900.000,2016,91.900
Ford Fiesta Se 2.016 Blanco Oxford 1.600cc Mecanico 95.800km,$38.500.000,2016,95.800
Ford Fiesta 1.6 Sportback,$29.500.000,2011,152.600
Ford Fiesta 1.6 Hatchback Mecánica,$29.000.000,2013,180.000
Ford Fiesta 1.6 Titanium Mt,$40.990.000,2016,110.000
Ford Fiesta 1.6 Hatchback Mecánica,$26.500.000,2012,141.300
Ford Fiesta 1.6 Sportback Automática,$32.900.000,2011,99.300
Ford Fiesta Se Mt,$38.900.000,2017,107.200
Ford Fiesta 1.6 Sportback Se Automática,$39.900.000,2015,72.000
Ford Fiesta 1.6 Hatchback Titanium,$41.900.000,2015,69.300
Ford Fiesta 1.6 Titanium At,$34.900.000,2014,112.300
Ford Fiesta 1.6 Sportback Titanium,$39.900.000,2015,90.000
Ford Fiesta 1.6 Sportback Mecánico,$49.500.000,2018,58.536
Ford Fiesta 1.6 Titanium At,$42.000.000,2015,53.000
Ford Fiesta Se 1.6 Sedan,$28.900.000,2011,134.000
Ford Fiesta Se 1.6,$32.000.000,2013,60.000
Ford Fiesta Titanium 1.6,$34.000.000,2014,98.500
Ford Fiesta Se Mecánico Sun Roof ,$44.900.000,2018,61.000
Ford Fiesta Se 2.016 Gris 1.600cc Automatico 96.150km,$40.500.000,2015,96.150
Ford Fiesta 1.6 Hatchback Se,$34.900.000,2014,70.000
Ford Fiesta titanium 1.6,$34.000.000,2014,129.500
Ford Fiesta titanium 1.6,$38.000.000,2014,97.000
Ford Fiesta 1.6 Sportback SE mec,$36.900.000,2016,96.000
Ford Fiesta 1.6 Sportback Se Automática,$40.990.000,2015,93.000
Ford Fiesta 1.6 Sportback Titanium,$38.900.000,2014,102.000
Ford Fiesta 1.6 Titanium At,$45.700.000,2017,64.000
Ford Fiesta 1.6 Titanium At,$42.000.000,2016,92.000
Ford Fiesta Titanium 1.6,$43.900.000,2017,101.700
Ford Fiesta TITANIUM CC1600 MECANICO 120 HP,$49.900.000,2018,61.000
Ford Fiesta 1.6 Sportback Se Mecánica,$38.490.000,2015,85.000
Ford Fiesta Se,$43.900.000,2017,37.000
Ford Fiesta 1.6 Hatchback Se,$35.000.000,2015,94.000
Ford Fiesta 1.6 Titanium At,$62.000.000,2018,55.000
Ford Fiesta 1.6 Hatchback Titanium,$40.000.000,2015,67.000
Ford Fiesta 1.6 Titanium At,$42.900.000,2016,96.000
Ford Fiesta titanium 1.6,$46.900.000,2017,112.700
Ford Fiesta 1.6 Hb,$29.800.000,2013,103.000
Ford Fiesta 1.6 Hatchback Mecánica,$29.900.000,2012,135.000
Ford Fiesta 1.6 Titanium At,$39.000.000,2015,101.000
Ford Fiesta 1.6 Hatchback Titanium,$44.900.000,2016,80.000
Ford Fiesta 1.6 Hatchback Mecánica,$26.999.000,2012,146.000
Ford Fiesta 1.6 Titanium At,$53.500.000,2019,43.812
Ford Fiesta 1.6 Titanium At,$41.800.000,2017,54.000
Ford Fiesta 1.6 Sportback Automática,$27.700.000,2011,116.000
Ford Fiesta 1.6 Sportback Se,$44.000.000,2017,80.000
Ford Fiesta 1.6 Hatchback Titanium,$41.900.000,2017,68.300
Ford Fiesta 1.6 Titanium At,$36.900.000,2014,84.000
Ford Fiesta 1.6 Sportback Automática,$29.900.000,2013,101.000
Ford Fiesta 1.6 Hatchback Mecánica,$32.790.000,2011,147.000
